"Time (UTCG)","Power (W)","Solar Intensity"
28 Sep 2019 07:06:10.000,0.000,0.000000
28 Sep 2019 07:06:11.000,0.000,0.000000
28 Sep 2019 07:06:12.000,0.000,0.000000
28 Sep 2019 07:06:13.000,0.000,0.000000
28 Sep 2019 07:06:14.000,0.000,0.000000
28 Sep 2019 07:06:15.000,0.000,0.000000
28 Sep 2019 07:06:16.000,0.000,0.000000
28 Sep 2019 07:06:17.000,0.000,0.000000
28 Sep 2019 07:06:18.000,0.000,0.000000
28 Sep 2019 07:06:19.000,0.000,0.000000
28 Sep 2019 07:06:20.000,0.000,0.000000
28 Sep 2019 07:06:21.000,0.000,0.000000
28 Sep 2019 07:06:22.000,0.000,0.000000
28 Sep 2019 07:06:23.000,0.000,0.000000
28 Sep 2019 07:06:24.000,0.000,0.000000
28 Sep 2019 07:06:25.000,0.000,0.000000
28 Sep 2019 07:06:26.000,0.000,0.000000
28 Sep 2019 07:06:27.000,0.000,0.000000
28 Sep 2019 07:06:28.000,0.000,0.000000
28 Sep 2019 07:06:29.000,0.000,0.000000
28 Sep 2019 07:06:30.000,0.000,0.000000
28 Sep 2019 07:06:31.000,0.000,0.000000
28 Sep 2019 07:06:32.000,0.000,0.000000
28 Sep 2019 07:06:33.000,0.000,0.000000
28 Sep 2019 07:06:34.000,0.000,0.000000
28 Sep 2019 07:06:35.000,0.000,0.000000
28 Sep 2019 07:06:36.000,0.000,0.000000
28 Sep 2019 07:06:37.000,0.000,0.000000
28 Sep 2019 07:06:38.000,0.000,0.000000
28 Sep 2019 07:06:39.000,0.000,0.000000
28 Sep 2019 07:06:40.000,0.000,0.000000
28 Sep 2019 07:06:41.000,0.000,0.000000
28 Sep 2019 07:06:42.000,0.000,0.000000
28 Sep 2019 07:06:43.000,0.000,0.000000
28 Sep 2019 07:06:44.000,0.000,0.000000
28 Sep 2019 07:06:45.000,0.000,0.000000
28 Sep 2019 07:06:46.000,0.000,0.000000
28 Sep 2019 07:06:47.000,0.000,0.000000
28 Sep 2019 07:06:48.000,0.000,0.000000
28 Sep 2019 07:06:49.000,0.000,0.000000
28 Sep 2019 07:06:50.000,0.000,0.000000
28 Sep 2019 07:06:51.000,0.000,0.000000
28 Sep 2019 07:06:52.000,0.000,0.000000
28 Sep 2019 07:06:53.000,0.000,0.000000
28 Sep 2019 07:06:54.000,0.000,0.000000
28 Sep 2019 07:06:55.000,0.000,0.000000
28 Sep 2019 07:06:56.000,0.000,0.000000
28 Sep 2019 07:06:57.000,0.000,0.000000
28 Sep 2019 07:06:58.000,0.000,0.000000
28 Sep 2019 07:06:59.000,0.000,0.000000
28 Sep 2019 07:07:00.000,0.000,0.000000
28 Sep 2019 07:07:01.000,0.000,0.000000
28 Sep 2019 07:07:02.000,0.000,0.000000
28 Sep 2019 07:07:03.000,0.000,0.000000
